COD Municipio,Cidade,COD UF,UF,Total de escolas que nao possuem laboratório de informatica,Total de escolas que possuem laboratório de informatica,Total de escolas que possuem computador,Total de escolas que possuem acesso a internet,Total de escolas que possuem internet banda larga,Total de escolas que nao possuem lousa digital,Total de escolas que nao possuemdesktop em uso pelos alunos,Total de escolas que possuem desktop em uso pelos alunos,Total de computadores em uso pelos alunos - desktop,Total de escolas que não possuem notebook em uso pelos alunos,Total de escolas que possuem notebook em uso pelos alunos,Total de computadores em uso pelos alunos - notebook,Total de escolas que nao possuem tablets em uso pelos alunos,Total de computadores em uso pelos alunos - tablet,Total de escolas que nao possuem acesso a internet para os alunos,Total de escolas que não possuem acesso a internet para uso nos processos de ensino e aprendizagem,Total de escolas que possuem acesso a internet para uso nos processos de ensino e aprendizagem,Total de escolas sem rede local,Total de escolas com rede local a cabo,Total de escolas com rede local wireless,Total de escolas com rede local a cabo e wireless
2916104,Itaparica,29,BA,21,3,23,21,20,24,15,9,35,16,8,27,24,0,23,17,7,5,3,5,6
2910800,Feira de Santana,29,BA,312,98,399,408,399,396,191,219,1445,244,166,555,376,406,171,109,301,58,54,42,224
2932903,Valenca,29,BA,135,25,85,91,79,156,136,24,192,146,14,69,155,55,145,115,45,13,32,15,15
2906501,Candeias,29,BA,48,31,76,77,60,75,70,9,63,72,7,11,76,15,76,73,6,6,9,47,2
2927408,Salvador,29,BA,1006,429,1390,1409,1348,1315,678,757,93957,953,482,92211,1156,92605,1061,918,517,289,349,192,450
2913606,Ilheus,29,BA,60,37,89,85,75,93,66,31,368,72,25,170,91,30,82,68,29,24,19,16,21
2914802,Itabuna,29,BA,90,55,134,132,121,142,59,86,462,88,57,214,133,54,101,80,65,30,20,16,63
2910057,Dias dAvila,29,BA,57,8,63,64,59,59,44,21,99,44,21,38,60,5,57,56,9,7,19,12,14
2933208,Vera Cruz,29,BA,46,8,46,51,46,52,40,14,40,43,11,58,52,6,47,32,22,12,8,5,15
2919207,Lauro de Freitas,29,BA,93,37,111,97,86,125,95,35,89204,114,16,218,115,249,95,101,29,8,51,8,19
2905701,Camacari,29,BA,140,79,211,207,200,208,95,124,1305,99,120,268621,200,137,148,124,95,25,74,37,55
2919926,Madre de Deus,29,BA,5,9,14,14,14,9,4,10,94,9,5,17,12,15,7,4,10,1,1,3,9
2930709,Simoes Filho,29,BA,85,25,104,100,87,107,73,37,347,96,14,35,105,38,99,96,14,13,49,20,19
2925204,Pojuca,29,BA,23,8,29,30,27,30,16,15,122,17,14,38,28,61,27,19,12,3,13,4,6
2929503,Sao Sebastiao do Passe,29,BA,35,8,40,36,27,43,37,6,22,40,3,15,42,10,40,34,9,10,12,9,4
2918001,Jequie,29,BA,49,102,67,102,89,148,110,41,281,120,31,185,139,127,124,117,34,12,24,8,14
2921005,Mata de São João,29,BA,36,8,44,41,31,42,16,28,41,39,5,32,43,1,44,22,22,4,13,13,4
2929206,Sao Francisco do Conde,29,BA,53,6,58,41,20,57,43,16,69,57,2,3,59,0,51,24,35,18,7,4,29
2933307,Vitoria da Conquista,29,BA,205,52,201,190,135,250,187,70,610,214,43,222,240,93,210,150,107,46,65,40,42
2928703,Santo Antonio de Jesus,29,BA,82,10,78,75,73,90,76,16,88968,74,18,88920,88,16,81,75,17,37,17,7,10
